iter	Passed	Remaining
766	1164	353
767	1166	352
768	1167	350
769	1169	349
770	1170	347
771	1171	346
772	1174	344
773	1175	343
774	1177	341
775	1187	342
776	1189	341
777	1190	339
778	1190	337
779	1191	336
780	1192	334
781	1194	333
782	1196	331
783	1198	330
784	1199	328
785	1201	327
786	1202	325
787	1205	324
788	1206	322
789	1208	321
790	1210	319
791	1216	319
792	1219	318
793	1220	316
794	1223	315
795	1225	314
796	1227	312
797	1229	311
798	1232	309
799	1233	308
800	1234	306
801	1235	305
802	1237	303
803	1238	301
804	1240	300
805	1241	298
806	1245	297
807	1246	296
808	1248	294
809	1250	293
810	1251	291
811	1253	290
812	1254	288
813	1256	287
814	1259	285
815	1261	284
816	1262	282
817	1265	281
818	1267	280
819	1268	278
820	1270	277
821	1281	277
822	1282	275
823	1283	274
824	1285	272
825	1288	271
826	1291	270
827	1294	268
828	1296	267
829	1297	265
830	1298	264
831	1299	262
832	1300	260
833	1301	259
834	1305	257
835	1307	256
836	1309	254
837	1310	253
838	1312	251
839	1313	250
840	1315	248
841	1316	247
842	1319	245
843	1321	244
844	1323	242
845	1324	241
846	1325	239
847	1326	237
848	1328	236
849	1329	234
850	1330	232
851	1331	231
852	1336	230
853	1338	228
854	1339	227
855	1340	225
856	1341	223
857	1342	222
858	1343	220
859	1344	218
860	1345	217
861	1347	215
862	1349	214
863	1351	212
864	1353	211
865	1354	209
866	1355	207
867	1356	206
868	1357	204
869	1359	203
870	1360	201
871	1361	199
872	1363	198
873	1366	197
874	1368	195
875	1369	193
876	1370	192
877	1371	190
878	1372	188
879	1374	187
880	1375	185
881	1376	184
882	1380	182
883	1381	181
884	1383	179
885	1384	178
886	1385	176
887	1386	174
888	1387	173
889	1388	171
890	1391	170
891	1392	168
892	1393	167
893	1394	165
894	1396	163
895	1397	162
896	1398	160
897	1399	158
898	1400	157
899	1402	155
900	1404	154
901	1406	152
902	1407	151
903	1409	149
904	1410	148
905	1411	146
906	1412	144
907	1413	143
908	1414	141
909	1415	139
910	1416	138
911	1417	136
912	1421	135
913	1423	133
914	1424	132
915	1425	130
916	1427	129
917	1428	127
918	1429	126
919	1431	124
920	1432	122
921	1435	121
922	1437	119
923	1438	118
924	1439	116
925	1441	115
926	1442	113
927	1443	111
928	1444	110
929	1446	108
930	1447	107
931	1449	105
932	1453	104
933	1454	102
934	1455	101
935	1457	99
936	1458	98
937	1459	96
938	1460	94
939	1461	93
940	1464	91
941	1466	90
942	1467	88
